age_Group,year,population
0-4,1950,155.227
0-4,1955,147.931
0-4,1960,150.648
0-4,1965,151.629
0-4,1970,160.195
0-4,1975,151.242
0-4,1980,127.387
0-4,1985,123.768
0-4,1990,136.655
0-4,1995,147.618
0-4,2000,146.872
0-4,2005,141.1
0-4,2010,148.989
0-4,2015,150.486
0-4,2020,146.366
5-9,1950,127.316
5-9,1955,154.481
5-9,1960,147.329
5-9,1965,150.334
5-9,1970,151.54
5-9,1975,161.245
5-9,1980,152.491
5-9,1985,128.607
5-9,1990,125.53
5-9,1995,138.806
5-9,2000,150.011
5-9,2005,149.267
5-9,2010,145.701
5-9,2015,155.091
5-9,2020,152.117
10-14,1950,103.428
10-14,1955,125.562
10-14,1960,154.406
10-14,1965,147.28
10-14,1970,150.548
10-14,1975,152.243
10-14,1980,161.878
10-14,1985,153.213
10-14,1990,129.658
10-14,1995,127.274
10-14,2000,140.654
10-14,2005,152.384
10-14,2010,153.476
10-14,2015,150.226
10-14,2020,156.423
15-19,1950,101.736
15-19,1955,103.174
15-19,1960,126.271
15-19,1965,153.977
15-19,1970,147.247
15-19,1975,150.838
15-19,1980,152.898
15-19,1985,162.951
15-19,1990,154.277
15-19,1995,131.625
15-19,2000,129.619
15-19,2005,143.316
15-19,2010,157.788
15-19,2015,158.332
15-19,2020,157.425
20-24,1950,113.262
20-24,1955,100.53
20-24,1960,101.625
20-24,1965,124.425
20-24,1970,152.153
20-24,1975,146.993
20-24,1980,151.407
20-24,1985,154.324
20-24,1990,164.549
20-24,1995,157.394
20-24,2000,136.302
20-24,2005,135.175
20-24,2010,151.636
20-24,2015,169.088
20-24,2020,170.852
25-29,1950,132.379
25-29,1955,112.022
25-29,1960,98.698
25-29,1965,100.652
25-29,1970,122.629
25-29,1975,152.179
25-29,1980,147.798
25-29,1985,152.965
25-29,1990,157.183
25-29,1995,168.198
25-29,2000,162.608
25-29,2005,143.728
25-29,2010,152.217
25-29,2015,176.091
25-29,2020,180.652
30-34,1950,129.635
30-34,1955,130.797
30-34,1960,110.499
30-34,1965,98.313
30-34,1970,100.302
30-34,1975,122.786
30-34,1980,152.774
30-34,1985,148.805
30-34,1990,154.873
30-34,1995,159.53
30-34,2000,171.93
30-34,2005,167.48
30-34,2010,154.934
30-34,2015,169.414
30-34,2020,184.42
35-39,1950,124.39
35-39,1955,127.785
35-39,1960,128.868
35-39,1965,110.065
35-39,1970,98.032
35-39,1975,100.42
35-39,1980,123.13
35-39,1985,153.169
35-39,1990,149.323
35-39,1995,156.061
35-39,2000,161.344
35-39,2005,174.572
35-39,2010,175.562
35-39,2015,164.103
35-39,2020,174.816
40-44,1950,116.856
40-44,1955,123.086
40-44,1960,126.858
40-44,1965,128.098
40-44,1970,109.422
40-44,1975,97.765
40-44,1980,100.328
40-44,1985,122.985
40-44,1990,152.773
40-44,1995,149.718
40-44,2000,156.713
40-44,2005,162.597
40-44,2010,179.61
40-44,2015,181.368
40-44,2020,167.353
45-49,1950,110.624
45-49,1955,115.377
45-49,1960,121.359
45-49,1965,125.666
45-49,1970,127.14
45-49,1975,108.685
45-49,1980,97.241
45-49,1985,99.798
45-49,1990,122.186
45-49,1995,152.344
45-49,2000,149.352
45-49,2005,156.764
45-49,2010,163.418
45-49,2015,182.812
45-49,2020,182.881
50-54,1950,101.959
50-54,1955,108.346
50-54,1960,113.393
50-54,1965,119.555
50-54,1970,123.689
50-54,1975,125.481
50-54,1980,107.328
50-54,1985,96.093
50-54,1990,98.583
50-54,1995,121.12
50-54,2000,150.802
50-54,2005,148.08
50-54,2010,157.26
50-54,2015,164.438
50-54,2020,182.791
55-59,1950,85.553
55-59,1955,98.962
55-59,1960,105.532
55-59,1965,110.801
55-59,1970,116.993
55-59,1975,121.18
55-59,1980,122.907
55-59,1985,105.084
55-59,1990,94.205
55-59,1995,97.07
55-59,2000,119.033
55-59,2005,148.121
55-59,2010,145.266
55-59,2015,156.406
55-59,2020,163.168
60-64,1950,71.753
60-64,1955,81.955
60-64,1960,94.754
60-64,1965,101.461
60-64,1970,107.007
60-64,1975,113.058
60-64,1980,117.303
60-64,1985,118.911
60-64,1990,101.729
60-64,1995,91.723
60-64,2000,94.58
60-64,2005,115.653
60-64,2010,147.939
60-64,2015,142.199
60-64,2020,153.718
65-69,1950,58.587
65-69,1955,66.879
65-69,1960,76.517
65-69,1965,88.572
65-69,1970,95.666
65-69,1975,101.169
65-69,1980,106.966
65-69,1985,111.43
65-69,1990,113.248
65-69,1995,97.112
65-69,2000,87.838
65-69,2005,90.447
65-69,2010,109.691
65-69,2015,143.03
65-69,2020,137.813
70-74,1950,48.69
70-74,1955,52.183
70-74,1960,58.884
70-74,1965,67.542
70-74,1970,79.304
70-74,1975,86.26
70-74,1980,91.984
70-74,1985,97.967
70-74,1990,102.612
70-74,1995,104.708
70-74,2000,90.25
70-74,2005,82.065
70-74,2010,84.108
70-74,2015,103.935
70-74,2020,135.792
75-79,1950,33.049
75-79,1955,38.481
75-79,1960,41.341
75-79,1965,46.706
75-79,1970,55.193
75-79,1975,64.836
75-79,1980,72.36
75-79,1985,78.439
75-79,1990,84.246
75-79,1995,89.277
75-79,2000,92.054
75-79,2005,80.097
75-79,2010,73.483
75-79,2015,76.447
75-79,2020,95.017
80-84,1950,20.162
80-84,1955,22.402
80-84,1960,25.869
80-84,1965,27.725
80-84,1970,31.999
80-84,1975,38.013
80-84,1980,46.119
80-84,1985,53.727
80-84,1990,60
80-84,1995,64.708
80-84,2000,70.218
80-84,2005,74.809
80-84,2010,64.052
80-84,2015,61.338
80-84,2020,64.442
85-89,1950,9.425
85-89,1955,10.072
85-89,1960,11.24
85-89,1965,12.692
85-89,1970,14.305
85-89,1975,16.884
85-89,1980,21.252
85-89,1985,27.137
85-89,1990,32.163
85-89,1995,36.716
85-89,2000,40.77
85-89,2005,45.713
85-89,2010,50.64
85-89,2015,44.72
85-89,2020,43.723
90-94,1950,2.753
90-94,1955,3.155
90-94,1960,3.32
90-94,1965,3.613
90-94,1970,4.438
90-94,1975,5.07
90-94,1980,6.442
90-94,1985,8.694
90-94,1990,11.221
90-94,1995,13.418
90-94,2000,15.815
90-94,2005,18.32
90-94,2010,22.012
90-94,2015,25.332
90-94,2020,22.994
95-99,1950,0.51
95-99,1955,0.526
95-99,1960,0.576
95-99,1965,0.592
95-99,1970,0.728
95-99,1975,0.911
95-99,1980,1.139
95-99,1985,1.597
95-99,1990,2.148
95-99,1995,2.714
95-99,2000,3.281
95-99,2005,4.029
95-99,2010,5.118
95-99,2015,6.396
95-99,2020,7.616
100+,1950,0.028
100+,1955,0.05
100+,1960,0.05
100+,1965,0.052
100+,1970,0.062
100+,1975,0.075
100+,1980,0.106
100+,1985,0.147
100+,1990,0.2
100+,1995,0.258
100+,2000,0.318
100+,2005,0.396
100+,2010,0.536
100+,2015,0.707
100+,2020,0.88
