age_Group,year,population
0-4,1950,164.544
0-4,1955,156.169
0-4,1960,158.191
0-4,1965,160.323
0-4,1970,169.423
0-4,1975,158.472
0-4,1980,133.813
0-4,1985,130.307
0-4,1990,143.73
0-4,1995,156.213
0-4,2000,154.899
0-4,2005,147.273
0-4,2010,157.029
0-4,2015,158.461
0-4,2020,155.382
5-9,1950,134.016
5-9,1955,163.441
5-9,1960,155.312
5-9,1965,157.595
5-9,1970,159.888
5-9,1975,170.158
5-9,1980,159.607
5-9,1985,134.956
5-9,1990,132.06
5-9,1995,146.045
5-9,2000,158.7
5-9,2005,157.361
5-9,2010,151.872
5-9,2015,163.285
5-9,2020,160.458
10-14,1950,107.036
10-14,1955,132.254
10-14,1960,162.994
10-14,1965,154.983
10-14,1970,157.726
10-14,1975,160.489
10-14,1980,170.975
10-14,1985,160.401
10-14,1990,136.178
10-14,1995,133.822
10-14,2000,147.997
10-14,2005,161.121
10-14,2010,162.043
10-14,2015,156.461
10-14,2020,164.803
15-19,1950,105.589
15-19,1955,107.195
15-19,1960,132.372
15-19,1965,162.45
15-19,1970,154.693
15-19,1975,157.917
15-19,1980,161.149
15-19,1985,171.688
15-19,1990,161.267
15-19,1995,137.817
15-19,2000,136.125
15-19,2005,151.037
15-19,2010,167.46
15-19,2015,168.312
15-19,2020,164.38
20-24,1950,118.502
20-24,1955,105.508
20-24,1960,106.072
20-24,1965,131.551
20-24,1970,162.287
20-24,1975,155.345
20-24,1980,158.353
20-24,1985,161.838
20-24,1990,173.266
20-24,1995,163.014
20-24,2000,140.763
20-24,2005,139.366
20-24,2010,157.511
20-24,2015,179.105
20-24,2020,182.417
25-29,1950,135.472
25-29,1955,117.473
25-29,1960,102.45
25-29,1965,104.258
25-29,1970,130.198
25-29,1975,163.112
25-29,1980,155.999
25-29,1985,159.849
25-29,1990,166.354
25-29,1995,176.311
25-29,2000,167.267
25-29,2005,145.547
25-29,2010,156.896
25-29,2015,182.51
25-29,2020,192.462
30-34,1950,130.044
30-34,1955,133.903
30-34,1960,114.512
30-34,1965,101.236
30-34,1970,103.466
30-34,1975,130.527
30-34,1980,163.379
30-34,1985,157.004
30-34,1990,162.786
30-34,1995,167.917
30-34,2000,179.675
30-34,2005,171.49
30-34,2010,160.97
30-34,2015,180.494
30-34,2020,192.415
35-39,1950,125.997
35-39,1955,128.841
35-39,1960,131.587
35-39,1965,113.349
35-39,1970,100.846
35-39,1975,103.417
35-39,1980,130.254
35-39,1985,163.571
35-39,1990,157.623
35-39,1995,162.938
35-39,2000,169.37
35-39,2005,181.414
35-39,2010,184.088
35-39,2015,176.037
35-39,2020,187.073
40-44,1950,114.84
40-44,1955,124.388
40-44,1960,127.19
40-44,1965,130.024
40-44,1970,112.261
40-44,1975,100.242
40-44,1980,102.824
40-44,1985,129.617
40-44,1990,162.577
40-44,1995,156.775
40-44,2000,162.767
40-44,2005,169.577
40-44,2010,190.355
40-44,2015,192.772
40-44,2020,180.065
45-49,1950,104.849
45-49,1955,113.103
45-49,1960,122.086
45-49,1965,124.986
45-49,1970,128.039
45-49,1975,110.58
45-49,1980,98.841
45-49,1985,101.547
45-49,1990,127.678
45-49,1995,160.569
45-49,2000,155.383
45-49,2005,161.786
45-49,2010,173.094
45-49,2015,194.788
45-49,2020,194.631
50-54,1950,95.582
50-54,1955,102.194
50-54,1960,110.342
50-54,1965,118.771
