age_Group,year,population
0-4,2025,163.092
0-4,2030,167.825
0-4,2035,170.609
0-4,2040,172.65
0-4,2045,173.843
0-4,2050,174.803
0-4,2055,177.145
0-4,2060,180.67
0-4,2065,183.964
0-4,2070,186.333
0-4,2075,188.268
0-4,2080,189.973
0-4,2085,191.885
0-4,2090,194.366
0-4,2095,196.788
0-4,2100,199.459
5-9,2025,157.392
5-9,2030,165.111
5-9,2035,169.849
5-9,2040,172.638
5-9,2045,174.683
5-9,2050,175.878
5-9,2055,176.841
5-9,2060,179.187
5-9,2065,182.711
5-9,2070,186.007
5-9,2075,188.378
5-9,2080,190.314
5-9,2085,192.019
5-9,2090,193.934
5-9,2095,196.414
5-9,2100,198.839
10-14,2025,161.991
10-14,2030,158.936
10-14,2035,166.656
10-14,2040,171.398
10-14,2045,174.189
10-14,2050,176.236
10-14,2055,177.435
10-14,2060,178.4
10-14,2065,180.745
10-14,2070,184.273
10-14,2075,187.569
10-14,2080,189.942
10-14,2085,191.881
10-14,2090,193.588
10-14,2095,195.503
10-14,2100,197.985
15-19,2025,172.729
15-19,2030,169.937
15-19,2035,166.896
15-19,2040,174.623
15-19,2045,179.369
15-19,2050,182.166
15-19,2055,184.218
15-19,2060,185.424
15-19,2065,186.395
15-19,2070,188.744
15-19,2075,192.276
15-19,2080,195.577
15-19,2085,197.954
15-19,2090,199.896
15-19,2095,201.606
15-19,2100,203.526
20-24,2025,178.534
20-24,2030,186.902
20-24,2035,184.143
20-24,2040,181.128
20-24,2045,188.863
20-24,2050,193.624
20-24,2055,196.435
20-24,2060,198.503
20-24,2065,199.727
20-24,2070,200.712
20-24,2075,203.075
20-24,2080,206.618
20-24,2085,209.934
20-24,2090,212.322
20-24,2095,214.276
20-24,2100,215.999
25-29,2025,195.815
25-29,2030,191.993
25-29,2035,200.381
25-29,2040,197.661
25-29,2045,194.683
25-29,2050,202.431
25-29,2055,207.21
25-29,2060,210.042
25-29,2065,212.133
25-29,2070,213.379
25-29,2075,214.386
25-29,2080,216.769
25-29,2085,220.328
25-29,2090,223.663
25-29,2095,226.069
25-29,2100,228.042
30-34,2025,202.392
30-34,2030,205.794
30-34,2035,202.027
30-34,2040,210.431
30-34,2045,207.754
30-34,2050,204.817
30-34,2055,212.58
30-34,2060,217.377
30-34,2065,220.237
30-34,2070,222.35
30-34,2075,223.622
30-34,2080,224.657
30-34,2085,227.061
30-34,2090,230.641
30-34,2095,233.995
30-34,2100,236.423
35-39,2025,199.018
35-39,2030,209.031
35-39,2035,212.478
35-39,2040,208.77
35-39,2045,217.193
35-39,2050,214.564
35-39,2055,211.669
35-39,2060,219.451
35-39,2065,224.272
35-39,2070,227.162
35-39,2075,229.304
35-39,2080,230.603
35-39,2085,231.668
35-39,2090,234.095
35-39,2095,237.7
35-39,2100,241.076
40-44,2025,191.144
40-44,2030,203.129
40-44,2035,213.176
40-44,2040,216.675
40-44,2045,213.03
40-44,2050,221.481
40-44,2055,218.906
40-44,2060,216.062
40-44,2065,223.863
40-44,2070,228.716
40-44,2075,231.637
